epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.086,1.2122,2.40221,1.53158,0.38716,0.56232,0.49429,0.30788,1.32141,3.5008,1.64779,0.0670701,0.000332626,0.000332626
2,197.165,1.11051,1.5915,1.40251,0.43797,0.58866,0.60527,0.42445,1.12372,1.76933,1.42539,0.0340569,0.000652773,0.000652773
3,288.368,1.01033,1.25273,1.31929,0.63851,0.66545,0.74134,0.53072,1.06992,1.3795,1.40352,0.00103049,0.00095972,0.00095972
4,378.187,0.91288,1.00945,1.25062,0.73502,0.60817,0.75663,0.56652,0.99629,1.23394,1.32959,0.0009406,0.0009406,0.0009406
5,468.575,0.81814,0.81779,1.18208,0.76198,0.76114,0.84572,0.62936,0.96716,1.0854,1.32076,0.0009208,0.0009208,0.0009208
6,558.987,0.759,0.71111,1.13956,0.80506,0.75049,0.83673,0.62551,0.94651,1.01102,1.31355,0.000901,0.000901,0.000901
7,648.747,0.70957,0.62673,1.10066,0.79812,0.76532,0.85233,0.65549,0.92403,0.93927,1.31554,0.0008812,0.0008812,0.0008812
8,738.626,0.66483,0.55725,1.06938,0.82919,0.84268,0.90552,0.69692,0.9013,0.80127,1.26866,0.0008614,0.0008614,0.0008614
9,828.814,0.62959,0.50826,1.0466,0.83545,0.82633,0.909,0.71631,0.84233,0.82418,1.20834,0.0008416,0.0008416,0.0008416
10,918.611,0.60966,0.47399,1.03021,0.81845,0.84526,0.90217,0.70418,0.84562,0.76464,1.24257,0.0008218,0.0008218,0.0008218
11,1008.4,0.57196,0.45118,1.00654,0.80109,0.80315,0.87482,0.69776,0.83981,0.80227,1.24148,0.000802,0.000802,0.000802
12,1098.35,0.54587,0.42067,0.98923,0.82518,0.84286,0.90746,0.71957,0.87151,0.7107,1.28142,0.0007822,0.0007822,0.0007822
13,1188.8,0.5229,0.39288,0.97326,0.83574,0.86172,0.91247,0.72182,0.83111,0.72114,1.23363,0.0007624,0.0007624,0.0007624
14,1278.74,0.50239,0.37238,0.95798,0.85764,0.83787,0.92322,0.73942,0.80656,0.69317,1.23036,0.0007426,0.0007426,0.0007426
15,1368.74,0.47542,0.35391,0.94174,0.86878,0.83049,0.9078,0.72068,0.84572,0.69726,1.2527,0.0007228,0.0007228,0.0007228
16,1458.78,0.46516,0.35243,0.9355,0.78992,0.86682,0.89674,0.72313,0.8209,0.69899,1.23779,0.000703,0.000703,0.000703
17,1548.11,0.44871,0.3351,0.92524,0.84498,0.85943,0.91136,0.72984,0.80235,0.65535,1.24106,0.0006832,0.0006832,0.0006832
18,1638.44,0.42689,0.31292,0.91182,0.86453,0.85012,0.92188,0.7355,0.81684,0.67184,1.2512,0.0006634,0.0006634,0.0006634
19,1728.48,0.41517,0.3038,0.90385,0.83814,0.86726,0.91017,0.73122,0.80815,0.68979,1.25766,0.0006436,0.0006436,0.0006436
20,1818.66,0.39654,0.29313,0.89395,0.82732,0.88969,0.92099,0.7375,0.79281,0.63875,1.23366,0.0006238,0.0006238,0.0006238
21,1909.06,0.38591,0.2822,0.88824,0.86721,0.8387,0.91488,0.73365,0.80129,0.64721,1.24887,0.000604,0.000604,0.000604
22,1999.59,0.37086,0.27384,0.88016,0.84262,0.88617,0.93247,0.74676,0.81524,0.65245,1.2684,0.0005842,0.0005842,0.0005842
23,2090.27,0.36132,0.2647,0.87483,0.84465,0.86923,0.92391,0.73469,0.80866,0.6938,1.2451,0.0005644,0.0005644,0.0005644
24,2179.97,0.35229,0.25938,0.8686,0.86024,0.85388,0.91714,0.73231,0.81952,0.66248,1.25964,0.0005446,0.0005446,0.0005446
25,2270.42,0.33962,0.24999,0.86194,0.8664,0.87212,0.92453,0.74041,0.8106,0.6411,1.28345,0.0005248,0.0005248,0.0005248
26,2360.53,0.32474,0.236,0.85556,0.86074,0.88127,0.93282,0.75216,0.7926,0.58574,1.2903,0.000505,0.000505,0.000505
27,2450.95,0.31806,0.23541,0.85116,0.864,0.82742,0.92333,0.74872,0.78377,0.64584,1.27323,0.0004852,0.0004852,0.0004852
28,2540.79,0.30365,0.22763,0.84435,0.85951,0.87053,0.92002,0.74477,0.7885,0.63395,1.27192,0.0004654,0.0004654,0.0004654
29,2630.69,0.29346,0.21881,0.83982,0.87974,0.88386,0.92769,0.75493,0.77845,0.59131,1.26476,0.0004456,0.0004456,0.0004456
30,2720.91,0.28472,0.21183,0.83574,0.8667,0.87827,0.92366,0.76352,0.77558,0.59951,1.26415,0.0004258,0.0004258,0.0004258
31,2811.49,0.27353,0.20383,0.83037,0.87103,0.83717,0.9257,0.74447,0.78971,0.62145,1.26818,0.000406,0.000406,0.000406
32,2901.87,0.26057,0.19474,0.82532,0.8667,0.86438,0.92877,0.75602,0.76715,0.60025,1.25541,0.0003862,0.0003862,0.0003862
33,2992.66,0.25503,0.1912,0.82243,0.85001,0.87941,0.92378,0.7469,0.76389,0.62139,1.25209,0.0003664,0.0003664,0.0003664
34,3082.64,0.24482,0.18544,0.8183,0.86901,0.85064,0.92828,0.75726,0.78341,0.60347,1.27869,0.0003466,0.0003466,0.0003466
35,3173.27,0.23671,0.1807,0.81526,0.88768,0.85257,0.92262,0.75688,0.75179,0.60139,1.25233,0.0003268,0.0003268,0.0003268
36,3263.84,0.22854,0.17342,0.81192,0.83665,0.85996,0.91145,0.75496,0.75389,0.61663,1.2716,0.000307,0.000307,0.000307
37,3354.15,0.21623,0.167,0.80786,0.84702,0.89993,0.91491,0.73587,0.78696,0.61664,1.30072,0.0002872,0.0002872,0.0002872
38,3444.34,0.20465,0.15892,0.8031,0.87635,0.84914,0.92426,0.75533,0.77112,0.59505,1.29298,0.0002674,0.0002674,0.0002674
39,3534.62,0.19471,0.15223,0.80029,0.83754,0.89676,0.92642,0.75691,0.77136,0.59122,1.30101,0.0002476,0.0002476,0.0002476
40,3624.61,0.18837,0.14738,0.79678,0.82016,0.87646,0.91697,0.74743,0.76795,0.6073,1.28977,0.0002278,0.0002278,0.0002278
41,3716.36,0.17885,0.14194,0.79439,0.83711,0.8799,0.92005,0.75669,0.77602,0.63268,1.2954,0.000208,0.000208,0.000208
42,3807.42,0.16958,0.1362,0.79231,0.89925,0.83708,0.92045,0.7573,0.78276,0.62556,1.31798,0.0001882,0.0001882,0.0001882
43,3898.16,0.15858,0.12875,0.78898,0.80468,0.88058,0.92045,0.75851,0.76266,0.61518,1.2887,0.0001684,0.0001684,0.0001684
44,3988.48,0.14744,0.12236,0.78581,0.88659,0.80964,0.92153,0.76164,0.76652,0.61771,1.3157,0.0001486,0.0001486,0.0001486
45,4078.92,0.13831,0.11675,0.78374,0.85757,0.84111,0.92379,0.75756,0.77063,0.62742,1.32038,0.0001288,0.0001288,0.0001288
46,4169.52,0.12923,0.11114,0.78167,0.81524,0.87972,0.92154,0.75685,0.76701,0.639,1.3206,0.000109,0.000109,0.000109
47,4260.39,0.12335,0.10795,0.78132,0.82202,0.88437,0.92467,0.75739,0.77149,0.63368,1.31919,8.92e-05,8.92e-05,8.92e-05
48,4350.87,0.11402,0.10205,0.77888,0.84528,0.85924,0.91998,0.75767,0.76527,0.65057,1.31499,6.94e-05,6.94e-05,6.94e-05
49,4441.62,0.10423,0.09659,0.77677,0.8404,0.87519,0.92323,0.75758,0.77125,0.64166,1.33005,4.96e-05,4.96e-05,4.96e-05
50,4532.31,0.09532,0.09117,0.77577,0.82905,0.88336,0.92377,0.76023,0.76969,0.65544,1.32825,2.98e-05,2.98e-05,2.98e-05
