epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.691,1.20711,2.27231,1.5034,0.63811,0.42109,0.52314,0.34009,1.34378,2.62581,1.65616,0.0670701,0.000332626,0.000332626
2,174.921,1.09106,1.47618,1.35933,0.54748,0.55293,0.60476,0.42237,1.19427,1.96834,1.45551,0.0340371,0.000632994,0.000632994
3,243.363,0.96307,1.16278,1.27305,0.54525,0.69857,0.72521,0.52146,1.04458,1.34571,1.34932,0.000971134,0.000900362,0.000900362
4,310.779,0.85709,0.90511,1.2018,0.63334,0.77841,0.75743,0.566,0.96169,1.19068,1.32616,0.0008515,0.0008515,0.0008515
5,378.402,0.77844,0.72695,1.14518,0.65389,0.72403,0.75476,0.56658,0.97645,1.25461,1.31066,0.000802,0.000802,0.000802
6,445.984,0.71181,0.6235,1.09716,0.73238,0.83608,0.87457,0.67355,0.91233,0.8844,1.26553,0.0007525,0.0007525,0.0007525
7,513.51,0.65657,0.54435,1.0574,0.74837,0.81739,0.86486,0.66667,0.87285,0.86777,1.23519,0.000703,0.000703,0.000703
8,580.803,0.61407,0.49525,1.02841,0.81844,0.80445,0.89316,0.6919,0.88085,0.84099,1.25271,0.0006535,0.0006535,0.0006535
9,648.339,0.56668,0.43848,0.99726,0.83499,0.83379,0.91403,0.72123,0.84359,0.73221,1.22452,0.000604,0.000604,0.000604
10,716.01,0.53741,0.39817,0.97661,0.73243,0.85713,0.85566,0.6715,0.85184,0.86778,1.22849,0.0005545,0.0005545,0.0005545
11,784.807,0.49098,0.36632,0.94925,0.8255,0.85157,0.8954,0.71361,0.82129,0.72221,1.23036,0.000505,0.000505,0.000505
12,852.496,0.45865,0.33683,0.93071,0.84703,0.84201,0.9063,0.72208,0.82591,0.66403,1.22799,0.0004555,0.0004555,0.0004555
13,920.354,0.42181,0.30888,0.90851,0.84472,0.813,0.90486,0.71758,0.83478,0.66107,1.25523,0.000406,0.000406,0.000406
14,988.063,0.38906,0.28782,0.88981,0.88425,0.84129,0.91679,0.72592,0.82323,0.6556,1.24039,0.0003565,0.0003565,0.0003565
15,1056.02,0.35985,0.26526,0.8743,0.84119,0.88474,0.90897,0.74252,0.76904,0.64107,1.18423,0.000307,0.000307,0.000307
16,1123.78,0.32737,0.24288,0.8595,0.8219,0.86512,0.9131,0.74016,0.8074,0.64377,1.26989,0.0002575,0.0002575,0.0002575
17,1191.47,0.30433,0.22638,0.84873,0.81914,0.88352,0.92222,0.74714,0.78931,0.61915,1.252,0.000208,0.000208,0.000208
18,1259.21,0.27123,0.20596,0.83519,0.84555,0.86705,0.91873,0.74496,0.78774,0.63005,1.24478,0.0001585,0.0001585,0.0001585
19,1326.94,0.24033,0.18765,0.82267,0.86945,0.85868,0.93115,0.75554,0.78289,0.60933,1.2497,0.000109,0.000109,0.000109
20,1394.56,0.21105,0.16992,0.81341,0.84957,0.87903,0.93234,0.76137,0.77106,0.60744,1.24566,5.95e-05,5.95e-05,5.95e-05
