epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.8086,1.20476,2.83823,1.41401,0.37408,0.46818,0.46836,0.3192,1.21196,2.44697,1.46778,0.0670701,0.000332626,0.000332626
2,106.764,0.97592,1.46908,1.22316,0.62944,0.66001,0.7113,0.51706,1.02713,1.47809,1.26805,0.0340635,0.000659366,0.000659366
3,155.104,0.89395,1.11006,1.15884,0.65061,0.67602,0.75704,0.54849,1.01884,1.29129,1.26187,0.00105028,0.000979506,0.000979506
4,203.132,0.82715,0.91354,1.11421,0.68912,0.67103,0.7688,0.5764,1.00919,1.34542,1.25417,0.0009703,0.0009703,0.0009703
5,251.823,0.75235,0.76504,1.06757,0.76,0.77955,0.82952,0.63619,0.90517,1.03196,1.18246,0.0009604,0.0009604,0.0009604
6,299.286,0.70205,0.6566,1.03421,0.71443,0.7555,0.81024,0.63098,0.88539,1.14386,1.19283,0.0009505,0.0009505,0.0009505
7,347.251,0.66775,0.60859,1.01544,0.74941,0.76409,0.83634,0.65722,0.87809,1.09037,1.18774,0.0009406,0.0009406,0.0009406
8,395.273,0.63725,0.55138,0.99494,0.78077,0.79516,0.88096,0.68185,0.89446,0.91618,1.20318,0.0009307,0.0009307,0.0009307
9,443.984,0.60328,0.50559,0.97239,0.73461,0.79493,0.85733,0.66387,0.8855,0.98077,1.19318,0.0009208,0.0009208,0.0009208
10,491.986,0.56958,0.47622,0.95694,0.74931,0.70602,0.80953,0.62899,0.85944,1.23346,1.17104,0.0009109,0.0009109,0.0009109
11,540.351,0.55002,0.45232,0.94342,0.79484,0.83832,0.86866,0.68134,0.86426,0.8892,1.20751,0.000901,0.000901,0.000901
12,588.815,0.53605,0.42482,0.93583,0.79304,0.83914,0.88061,0.70625,0.80868,0.87672,1.16274,0.0008911,0.0008911,0.0008911
13,637.427,0.50808,0.40376,0.92226,0.82531,0.86509,0.91202,0.71539,0.8321,0.75464,1.15934,0.0008812,0.0008812,0.0008812
14,685.569,0.49199,0.38129,0.91296,0.82814,0.81166,0.88226,0.7041,0.80772,0.8235,1.16171,0.0008713,0.0008713,0.0008713
15,733.528,0.4775,0.37242,0.90594,0.84065,0.83477,0.88596,0.7071,0.83289,0.74271,1.18167,0.0008614,0.0008614,0.0008614
16,781.765,0.4634,0.36315,0.89736,0.84881,0.84155,0.89978,0.71022,0.79179,0.7423,1.12478,0.0008515,0.0008515,0.0008515
17,830.44,0.45237,0.35383,0.89143,0.8423,0.8591,0.90824,0.72571,0.80744,0.74404,1.16326,0.0008416,0.0008416,0.0008416
18,878.455,0.43696,0.34303,0.88535,0.82993,0.84003,0.89369,0.71306,0.80342,0.72419,1.14727,0.0008317,0.0008317,0.0008317
19,926.591,0.42751,0.33173,0.87835,0.85197,0.79744,0.87057,0.69628,0.8005,0.85294,1.15774,0.0008218,0.0008218,0.0008218
20,974.855,0.41848,0.31817,0.87389,0.78773,0.85759,0.90508,0.72036,0.81555,0.73775,1.17227,0.0008119,0.0008119,0.0008119
21,1023.07,0.41221,0.31213,0.87087,0.86933,0.83861,0.90639,0.72676,0.78766,0.72313,1.14945,0.000802,0.000802,0.000802
22,1071.57,0.39473,0.30439,0.86418,0.84154,0.8484,0.90372,0.73308,0.79022,0.71648,1.13623,0.0007921,0.0007921,0.0007921
23,1119.55,0.39316,0.29845,0.86344,0.8038,0.78249,0.84151,0.67883,0.80761,1.01997,1.18695,0.0007822,0.0007822,0.0007822
24,1167.49,0.38446,0.29193,0.85802,0.83449,0.77515,0.85197,0.68882,0.81935,0.92166,1.18625,0.0007723,0.0007723,0.0007723
25,1216.06,0.37624,0.28529,0.85453,0.827,0.76579,0.87004,0.6949,0.821,0.86131,1.2141,0.0007624,0.0007624,0.0007624
26,1264.2,0.37284,0.28051,0.85365,0.81323,0.78024,0.85477,0.6823,0.80997,0.93189,1.19514,0.0007525,0.0007525,0.0007525
27,1312.18,0.36155,0.2786,0.84933,0.79587,0.88928,0.90187,0.71684,0.80965,0.70734,1.20192,0.0007426,0.0007426,0.0007426
28,1360.1,0.35295,0.26688,0.84647,0.84432,0.82755,0.89402,0.71913,0.77968,0.77541,1.16351,0.0007327,0.0007327,0.0007327
29,1408.58,0.34707,0.26081,0.84294,0.8575,0.84544,0.90267,0.73122,0.75987,0.70514,1.1384,0.0007228,0.0007228,0.0007228
30,1456.74,0.33578,0.25465,0.83759,0.86481,0.86084,0.90848,0.72447,0.79282,0.70471,1.18007,0.0007129,0.0007129,0.0007129
31,1505.3,0.33183,0.25241,0.8373,0.84564,0.81572,0.88336,0.715,0.78198,0.83141,1.18219,0.000703,0.000703,0.000703
32,1553.38,0.32469,0.24618,0.83424,0.83585,0.85344,0.91543,0.73124,0.79343,0.67946,1.18206,0.0006931,0.0006931,0.0006931
33,1602.24,0.32233,0.24331,0.83264,0.82336,0.85087,0.89821,0.72526,0.78096,0.7337,1.17866,0.0006832,0.0006832,0.0006832
34,1650.39,0.31416,0.24094,0.83025,0.84685,0.81545,0.9004,0.7297,0.76434,0.72139,1.16733,0.0006733,0.0006733,0.0006733
35,1698.6,0.31172,0.23636,0.82985,0.82746,0.83725,0.9015,0.7235,0.7935,0.74391,1.18883,0.0006634,0.0006634,0.0006634
36,1746.85,0.30372,0.23036,0.82591,0.83988,0.76605,0.88245,0.71653,0.77926,0.79693,1.19458,0.0006535,0.0006535,0.0006535
37,1794.94,0.29775,0.22831,0.82452,0.80507,0.78387,0.87225,0.70921,0.76127,0.87949,1.17187,0.0006436,0.0006436,0.0006436
38,1842.95,0.2914,0.22327,0.82071,0.84821,0.86268,0.92289,0.74311,0.7839,0.63636,1.20049,0.0006337,0.0006337,0.0006337
39,1891.33,0.28651,0.22506,0.8189,0.85301,0.87947,0.92381,0.74224,0.79676,0.66046,1.21832,0.0006238,0.0006238,0.0006238
40,1939.59,0.28488,0.22224,0.81915,0.84722,0.7242,0.85925,0.69685,0.7907,0.94166,1.21129,0.0006139,0.0006139,0.0006139
41,1988.31,0.28103,0.21816,0.8165,0.85247,0.79747,0.88016,0.71967,0.7814,0.81289,1.20099,0.000604,0.000604,0.000604
42,2036.03,0.27611,0.21422,0.81531,0.80978,0.8749,0.91132,0.73434,0.78842,0.65527,1.21195,0.0005941,0.0005941,0.0005941
43,2084.2,0.26781,0.20508,0.81222,0.81071,0.86821,0.90173,0.72816,0.78449,0.72997,1.2232,0.0005842,0.0005842,0.0005842
44,2132.42,0.26589,0.20278,0.81231,0.80495,0.77796,0.86334,0.70185,0.79009,0.95529,1.21137,0.0005743,0.0005743,0.0005743
45,2180.64,0.25863,0.19839,0.80871,0.83246,0.81536,0.88778,0.72177,0.76822,0.73886,1.19662,0.0005644,0.0005644,0.0005644
46,2229.32,0.25444,0.19613,0.80778,0.83262,0.82024,0.89736,0.72673,0.78031,0.74858,1.19982,0.0005545,0.0005545,0.0005545
47,2277.67,0.25197,0.19298,0.80619,0.79908,0.76771,0.86002,0.69988,0.77956,0.96069,1.2042,0.0005446,0.0005446,0.0005446
48,2325.96,0.24667,0.19254,0.80478,0.89942,0.8333,0.92013,0.74503,0.77506,0.67795,1.21806,0.0005347,0.0005347,0.0005347
49,2374.13,0.24247,0.18898,0.80515,0.8134,0.79921,0.88821,0.72167,0.77493,0.79606,1.2036,0.0005248,0.0005248,0.0005248
50,2422.48,0.23549,0.18554,0.80201,0.8853,0.84798,0.9177,0.74263,0.77852,0.65801,1.20154,0.0005149,0.0005149,0.0005149
