epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.187,1.17875,2.42183,1.4582,0.54471,0.4542,0.49274,0.31448,1.26096,2.5701,1.51243,0.0670701,0.000332626,0.000332626
2,143.082,1.00686,1.33267,1.26745,0.4793,0.46194,0.55235,0.38113,1.20841,3.18689,1.49851,0.0340371,0.000632994,0.000632994
3,193.274,0.92342,1.04831,1.19234,0.5896,0.65631,0.70166,0.52022,0.9995,1.50285,1.26504,0.000971134,0.000900362,0.000900362
4,242.83,0.83955,0.84474,1.13573,0.6734,0.79309,0.80504,0.58622,1.01337,1.07997,1.27759,0.0008515,0.0008515,0.0008515
5,292.178,0.76039,0.69055,1.08185,0.74719,0.81382,0.85682,0.64606,0.94853,0.92401,1.24174,0.000802,0.000802,0.000802
6,341.812,0.69595,0.58929,1.04587,0.76477,0.7237,0.84185,0.65575,0.89413,0.93496,1.2104,0.0007525,0.0007525,0.0007525
7,391.169,0.65155,0.51894,1.015,0.75812,0.80832,0.88492,0.68865,0.87978,0.88856,1.19264,0.000703,0.000703,0.000703
8,440.211,0.60273,0.46873,0.98719,0.85748,0.82925,0.92219,0.71623,0.84449,0.75446,1.18122,0.0006535,0.0006535,0.0006535
9,489.632,0.56283,0.42122,0.96488,0.82416,0.84751,0.90141,0.72326,0.82894,0.74024,1.17868,0.000604,0.000604,0.000604
10,539.084,0.52468,0.38127,0.94253,0.7932,0.86694,0.90839,0.72314,0.85126,0.72014,1.17308,0.0005545,0.0005545,0.0005545
11,590.058,0.48466,0.34832,0.92163,0.84071,0.85771,0.91788,0.73771,0.79387,0.67384,1.13118,0.000505,0.000505,0.000505
12,639.971,0.44439,0.31788,0.90371,0.84115,0.85162,0.91651,0.74219,0.77991,0.67954,1.15863,0.0004555,0.0004555,0.0004555
13,689.566,0.41634,0.29526,0.88726,0.81719,0.84362,0.90421,0.73137,0.77677,0.69525,1.14565,0.000406,0.000406,0.000406
14,739.241,0.38442,0.27264,0.87294,0.84442,0.872,0.9195,0.74514,0.78802,0.64908,1.16044,0.0003565,0.0003565,0.0003565
15,788.757,0.35323,0.25248,0.85913,0.80669,0.86104,0.9005,0.73722,0.78434,0.70113,1.15332,0.000307,0.000307,0.000307
16,837.689,0.32393,0.23312,0.84804,0.86948,0.85486,0.93242,0.75322,0.76361,0.61075,1.15388,0.0002575,0.0002575,0.0002575
17,887.27,0.29451,0.21517,0.83809,0.81963,0.90036,0.92684,0.75831,0.75151,0.6281,1.16071,0.000208,0.000208,0.000208
18,937.082,0.26415,0.1996,0.82712,0.87923,0.85923,0.92947,0.75741,0.73908,0.60034,1.14634,0.0001585,0.0001585,0.0001585
19,986.008,0.23384,0.18092,0.81727,0.83873,0.88208,0.92333,0.7687,0.73945,0.61751,1.1523,0.000109,0.000109,0.000109
20,1035.34,0.2051,0.16461,0.80986,0.8998,0.84651,0.93509,0.77314,0.73055,0.60646,1.15621,5.95e-05,5.95e-05,5.95e-05
